,,,,,,,,,,,,Frequency,vm(vout),ph(v(vout))
Frequency (Hz),Channel 1 Magnitude (V),Channel 2 Magnitude (V),Channel 2 Phase (deg),,,,,Frequency,vm(vout),ph(v(vout)),,Hz,Volts,deg
17.7827941,0.100237864,0.149995597,-0.625639841,,,,,,,,,17.7827941,0.149995597,-0.625639841
18.19700859,0.100275412,0.149973439,-0.639120551,,,,,,,,,18.19700859,0.149973439,-0.639120551
18.62087137,0.100286245,0.14993051,-0.653358756,,,,,,,,,18.62087137,0.14993051,-0.653358756
19.05460718,0.100286905,0.149919607,-0.679624321,,,,,,,,,19.05460718,0.149919607,-0.679624321
19.498446,0.100284366,0.149934741,-0.697171867,,,,,,,,,19.498446,0.149934741,-0.697171867
19.95262315,0.100292938,0.149908288,-0.721348205,,,,,,,,,19.95262315,0.149908288,-0.721348205
20.41737945,0.100263549,0.149949204,-0.728084514,,,,,,,,,20.41737945,0.149949204,-0.728084514
20.89296131,0.100254464,0.149967099,-0.74046603,,,,,,,,,20.89296131,0.149967099,-0.74046603
21.3796209,0.100280169,0.149918466,-0.761002119,,,,,,,,,21.3796209,0.149918466,-0.761002119
21.87761624,0.100269257,0.149949852,-0.773516209,,,,,,,,,21.87761624,0.149949852,-0.773516209
22.38721139,0.100298495,0.149892148,-0.799731736,,,,,,,,,22.38721139,0.149892148,-0.799731736
22.90867653,0.100292831,0.149911354,-0.828924911,,,,,,,,,22.90867653,0.149911354,-0.828924911
23.44228815,0.100271898,0.149913622,-0.833043652,,,,,,,,,23.44228815,0.149913622,-0.833043652
23.98832919,0.10026182,0.149930321,-0.859640243,,,,,,,,,23.98832919,0.149930321,-0.859640243
24.54708916,0.100266241,0.149911672,-0.871027752,,,,,,,,,24.54708916,0.149911672,-0.871027752
25.11886432,0.100281453,0.14994432,-0.900476913,,,,,,,,,25.11886432,0.14994432,-0.900476913
25.70395783,0.100265005,0.149930442,-0.915544756,,,,,,,,,25.70395783,0.149930442,-0.915544756
26.30267992,0.100233983,0.149966614,-0.935936205,,,,,,,,,26.30267992,0.149966614,-0.935936205
26.91534804,0.100269611,0.149936484,-0.955289884,,,,,,,,,26.91534804,0.149936484,-0.955289884
27.54228703,0.100259976,0.149939481,-0.995597929,,,,,,,,,27.54228703,0.149939481,-0.995597929
28.18382931,0.100297495,0.149899459,-1.023109307,,,,,,,,,28.18382931,0.149899459,-1.023109307
28.84031503,0.100296979,0.14990004,-1.028959818,,,,,,,,,28.84031503,0.14990004,-1.028959818
29.51209227,0.10028684,0.149888713,-1.043336361,,,,,,,,,29.51209227,0.149888713,-1.043336361
30.1995172,0.100253664,0.149950014,-1.079828405,,,,,,,,,30.1995172,0.149950014,-1.079828405
30.90295433,0.100285417,0.149887296,-1.092816774,,,,,,,,,30.90295433,0.149887296,-1.092816774
31.6227766,0.100273339,0.149913754,-1.134962634,,,,,,,,,31.6227766,0.149913754,-1.134962634
32.35936569,0.100301912,0.149880099,-1.158686175,,,,,,,,,32.35936569,0.149880099,-1.158686175
33.11311215,0.100251292,0.14993089,-1.182165167,,,,,,,,,33.11311215,0.14993089,-1.182165167
33.88441561,0.100268554,0.149929257,-1.217099523,,,,,,,,,33.88441561,0.149929257,-1.217099523
34.67368505,0.100258586,0.149921879,-1.239614613,,,,,,,,,34.67368505,0.149921879,-1.239614613
35.48133892,0.100255407,0.149940659,-1.264014573,,,,,,,,,35.48133892,0.149940659,-1.264014573
36.30780548,0.100258399,0.149908491,-1.289487331,,,,,,,,,36.30780548,0.149908491,-1.289487331
37.15352291,0.100268319,0.149915007,-1.316238834,,,,,,,,,37.15352291,0.149915007,-1.316238834
38.01893963,0.100300253,0.149886283,-1.35770192,,,,,,,,,38.01893963,0.149886283,-1.35770192
38.9045145,0.10028363,0.149871581,-1.384249966,,,,,,,,,38.9045145,0.149871581,-1.384249966
39.81071706,0.100246663,0.149924881,-1.418324965,,,,,,,,,39.81071706,0.149924881,-1.418324965
40.73802778,0.100275401,0.149870918,-1.447114001,,,,,,,,,40.73802778,0.149870918,-1.447114001
41.68693835,0.100292228,0.149868126,-1.485793095,,,,,,,,,41.68693835,0.149868126,-1.485793095
42.65795188,0.100277711,0.149859016,-1.522447139,,,,,,,,,42.65795188,0.149859016,-1.522447139
43.65158322,0.100265157,0.149887306,-1.560108113,,,,,,,,,43.65158322,0.149887306,-1.560108113
44.66835922,0.100256249,0.149883519,-1.596279,,,,,,,,,44.66835922,0.149883519,-1.596279
45.70881896,0.10023478,0.149922377,-1.637464823,,,,,,,,,45.70881896,0.149922377,-1.637464823
