time	V(vo)
8.690933580774803e-005	1.465241e+000
8.696179922366000e-005	1.458236e+000
8.700986949750146e-005	1.452210e+000
8.709783329081303e-005	1.442254e+000
8.717755320031971e-005	1.434388e+000
8.733249451825085e-005	1.421170e+000
8.748922533882425e-005	1.409143e+000
8.775328266581491e-005	1.390161e+000
8.802461549855102e-005	1.371101e+000
8.851577215452978e-005	1.337043e+000
8.935102802973228e-005	1.280055e+000
9.102153978013726e-005	1.169247e+000
9.339655129352511e-005	1.017753e+000
9.554698624781652e-005	8.870119e-001
9.800856011631817e-005	7.429215e-001
9.830431470248093e-005	7.257927e-001
9.889582387480645e-005	6.911104e-001
9.933224953830025e-005	6.648471e-001
9.944135595417370e-005	6.579908e-001
9.965956878592060e-005	6.433289e-001
9.993515043967545e-005	6.231161e-001
1.000565712526759e-004	6.125988e-001
1.001897277877022e-004	5.983518e-001
1.002577783363797e-004	5.887250e-001
1.003179269729116e-004	5.768855e-001
1.003600986687527e-004	5.647593e-001
1.004004051193460e-004	5.469847e-001
1.004403376274131e-004	5.198672e-001
1.004823374607356e-004	4.866789e-001
1.005108154810945e-004	4.827712e-001
1.005230732458593e-004	5.120664e-001
1.005303011835029e-004	5.636306e-001
1.005392909079497e-004	6.724250e-001
1.005492114294668e-004	8.227984e-001
1.005605970224774e-004	9.943852e-001
1.005727249330771e-004	1.140395e+000
1.005827087966623e-004	1.220908e+000
1.005937423849008e-004	1.280759e+000
1.006056230687457e-004	1.337467e+000
1.006157431180692e-004	1.386413e+000
1.006210967194567e-004	1.409469e+000
1.006275311578297e-004	1.429698e+000
1.006342686913437e-004	1.443896e+000
1.006403926544910e-004	1.452502e+000
1.006467653251574e-004	1.458610e+000
1.006552188343329e-004	1.464088e+000
1.006661448148748e-004	1.468649e+000
1.006781780412368e-004	1.471549e+000
1.006942541550511e-004	1.473397e+000
1.007112326753991e-004	1.473882e+000
1.007335779232169e-004	1.473175e+000
1.007551751890352e-004	1.471627e+000
1.007790329413560e-004	1.469244e+000
1.008043554266612e-004	1.466257e+000
1.008343726993654e-004	1.462387e+000
1.008644869589313e-004	1.458368e+000
1.009086220684984e-004	1.452519e+000
1.009490681826752e-004	1.447419e+000
1.010157300715180e-004	1.439652e+000
1.010773859327407e-004	1.433210e+000
1.011856393679683e-004	1.423201e+000
1.012859788927930e-004	1.414923e+000
1.014835673620205e-004	1.400059e+000
1.016838164091052e-004	1.385700e+000
1.020481647013408e-004	1.360197e+000
1.024903725076182e-004	1.329598e+000
1.033747881201728e-004	1.269464e+000
1.051436193452821e-004	1.152522e+000
1.073631458687553e-004	1.011429e+000
1.095054311462596e-004	8.815495e-001
1.119452951284916e-004	7.388483e-001
1.121190010342102e-004	7.288052e-001
1.124664128456476e-004	7.084965e-001
1.131612364685222e-004	6.664018e-001
1.136129803622882e-004	6.367869e-001
1.138398074890824e-004	6.201494e-001
1.138804956642056e-004	6.167306e-001
1.139618720144519e-004	6.086939e-001
1.140859771920192e-004	5.936427e-001
1.141602561150831e-004	5.813409e-001
1.142064164050933e-004	5.699406e-001
