Freq.	V(vo)	V(vo1)	V(vo2)	Ib(Q3)
5.65555522514243e+002	(2.34099116005283e+001dB,1.74776010240285e+002°)	(-4.66279554768793e+001dB,-2.75629348287877e+000°)	(2.34102945899439e+001dB,1.74776407125567e+002°)	(-1.52230223855576e+002dB,1.07468774202912e-001°)
5.78597080074360e+002	(2.34082359178626e+001dB,1.74656233812133e+002°)	(-4.66292540264305e+001dB,-2.81923875007625e+000°)	(2.34086189073084e+001dB,1.74656639849482e+002°)	(-1.52230222968894e+002dB,1.09946864669006e-001°)
5.91939372428539e+002	(2.34064827547689e+001dB,1.74533743679427e+002°)	(-4.66306124974113e+001dB,-2.88359238737512e+000°)	(2.34068657442464e+001dB,1.74534159079885e+002°)	(-1.52230222041102e+002dB,1.12482091516456e-001°)
6.05589334439886e+002	(2.34046485622033e+001dB,1.74408480642610e+002°)	(-4.66320336237635e+001dB,-2.94938385889491e+000°)	(2.34050315517139e+001dB,1.74408905622090e+002°)	(-1.52230221070105e+002dB,1.15075771755563e-001°)
6.19554060887574e+002	(2.34027296243751e+001dB,1.74280384373636e+002°)	(-4.66335201790863e+001dB,-3.01664312354806e+000°)	(2.34031126172883e+001dB,1.74280819153026e+002°)	(-1.52230220053999e+002dB,1.17729252686386e-001°)
6.33840810154470e+002	(2.34007220811537e+001dB,1.74149393395911e+002°)	(-4.66350753077448e+001dB,-3.08540053794217e+000°)	(2.34011050741032e+001dB,1.74149838201195e+002°)	(-1.52230218990761e+002dB,1.20443912772250e-001°)
6.48457007999789e+002	(2.33986218770486e+001dB,1.74015445089864e+002°)	(-4.66367020415120e+001dB,-3.15568699188674e+000°)	(2.33990048700361e+001dB,1.74015900152236e+002°)	(-1.52230217877958e+002dB,1.23221162042846e-001°)
6.63410251418746e+002	(2.33964247831221e+001dB,1.73878475674715e+002°)	(-4.66384036318965e+001dB,-3.22753380998656e+000°)	(2.33968077761494e+001dB,1.73878941230701e+002°)	(-1.52230216713628e+002dB,1.26062443131783e-001°)
6.78708312591213e+002	(2.33941263747548e+001dB,1.73738420206253e+002°)	(-4.66401833945610e+001dB,-3.30097279337124e+000°)	(2.33945093711917e+001dB,1.73738896497832e+002°)	(-1.52230215495226e+002dB,1.28969231885864e-001°)
6.94359142921431e+002	(2.33917220524862e+001dB,1.73595212560005e+002°)	(-4.66420450322703e+001dB,-3.37603611193480e+000°)	(2.33921050489667e+001dB,1.73595699834737e+002°)	(-1.52230214220188e+002dB,1.31943038024391e-001°)
7.10370877170875e+002	(2.33892069905420e+001dB,1.73448785441962e+002°)	(-4.66439921660217e+001dB,-3.45275644388781e+000°)	(2.33895899870681e+001dB,1.73449283953116e+002°)	(-1.52230212885829e+002dB,1.34985406153040e-001°)
7.26751837686421e+002	(2.33865761498076e+001dB,1.73299070377301e+002°)	(-4.66460285773877e+001dB,-3.53116689377237e+000°)	(2.33869591497494e+001dB,1.73299580383985e+002°)	(-1.52230211489723e+002dB,1.38097916345621e-001°)
