Freq.	V(vout)
2.17086923195408e+002	(5.46742145020436e+000dB,-2.58501660218178e+001°)
2.22092888996636e+002	(5.44294672630917e+000dB,-2.64117489977997e+001°)
2.27214291016840e+002	(5.41744754024917e+000dB,-2.69840571486495e+001°)
2.32453791184046e+002	(5.39088598916720e+000dB,-2.75672039702802e+001°)
2.37814112809617e+002	(5.36322317772693e+000dB,-2.81612985428365e+001°)
2.43298042003742e+002	(5.33441922531346e+000dB,-2.87664451640097e+001°)
2.48908429123560e+002	(5.30443327635707e+000dB,-2.93827429746088e+001°)
2.54648190254672e+002	(5.27322351395684e+000dB,-3.00102855775786e+001°)
2.60520308726829e+002	(5.24074717698834e+000dB,-3.06491606516500e+001°)
2.66527836664557e+002	(5.20696058083735e+000dB,-3.12994495610878e+001°)
2.72673896573549e+002	(5.17181914195447e+000dB,-3.19612269630098e+001°)
2.78961682963640e+002	(5.13527740633401e+000dB,-3.26345604140213e+001°)
2.85394464009193e+002	(5.09728908206514e+000dB,-3.33195099779822e+001°)
2.91975583247792e+002	(5.05780707605356e+000dB,-3.40161278368606e+001°)
2.98708461318095e+002	(5.01678353500203e+000dB,-3.47244579068146e+001°)
3.05596597737762e+002	(4.97416989071344e+000dB,-3.54445354616816e+001°)
3.12643572722384e+002	(4.92991690973875e+000dB,-3.61763867662735e+001°)
3.19853049046359e+002	(4.88397474738144e+000dB,-3.69200287218860e+001°)
3.27228773946671e+002	(4.83629300602759e+000dB,-3.76754685265562e+001°)
3.34774581070576e+002	(4.78682079772008e+000dB,-3.84427033526800e+001°)
3.42494392468203e+002	(4.73550681089542e+000dB,-3.92217200445891e+001°)
3.50392220631094e+002	(4.68229938110906e+000dB,-4.00124948387624e+001°)
3.58472170577763e+002	(4.62714656558357e+000dB,-4.08149931093121e+001°)
3.66738441987344e+002	(4.56999622133360e+000dB,-4.16291691413001e+001°)
3.75195331382435e+002	(4.51079608659542e+000dB,-4.24549659344714e+001°)
3.83847234362284e+002	(4.44949386523637e+000dB,-4.32923150397391e+001°)
3.92698647887473e+002	(4.38603731378200e+000dB,-4.41411364307498e+001°)
4.01754172617276e+002	(4.32037433064774e+000dB,-4.50013384125633e+001°)
4.11018515300931e+002	(4.25245304713204e+000dB,-4.58728175693016e+001°)
4.20496491224040e+002	(4.18222191965895e+000dB,-4.67554587524282e+001°)
4.30193026711389e+002	(4.10962982278643e+000dB,-4.76491351108513e+001°)
4.40113161687485e+002	(4.03462614237444e+000dB,-4.85537081639258e+001°)
4.50262052296130e+002	(3.95716086837344e+000dB,-4.94690279178847e+001°)
4.60644973580413e+002	(3.87718468659929e+000dB,-5.03949330259571e+001°)
4.71267322224486e+002	(3.79464906890639e+000dB,-5.13312509919337e+001°)
4.82134619358586e+002	(3.70950636111197e+000dB,-5.22777984165675e+001°)
4.93252513428715e+002	(3.62170986806784e+000dB,-5.32343812857050e+001°)
5.04626783132520e+002	(3.53121393525698e+000dB,-5.42007952985813e+001°)
5.16263340422850e+002	(3.43797402633478e+000dB,-5.51768262343016e+001°)
5.28168233580592e+002	(3.34194679603620e+000dB,-5.61622503539708e+001°)
5.40347650358355e+002	(3.24309015792261e+000dB,-5.71568348356982e+001°)
5.52807921196653e+002	(3.14136334649651e+000dB,-5.81603382389915e+001°)
5.65555522514247e+002	(3.03672697322603e+000dB,-5.91725109949905e+001°)
5.78597080074364e+002	(2.92914307612907e+000dB,-6.01930959184079e+001°)
5.91939372428543e+002	(2.81857516260993e+000dB,-6.12218287368246e+001°)
6.05589334439890e+002	(2.70498824529843e+000dB,-6.22584386328070e+001°)
6.19554060887578e+002	(2.58834887078034e+000dB,-6.33026487939766e+001°)
6.33840810154475e+002	(2.46862514110490e+000dB,-6.43541769662344e+001°)
6.48457007999794e+002	(2.34578672813094e+000dB,-6.54127360050084e+001°)
6.63410251418750e+002	(2.21980488078813e+000dB,-6.64780344198216e+001°)
6.78708312591217e+002	(2.09065242547323e+000dB,-6.75497769069929e+001°)
6.94359142921436e+002	(1.95830375983773e+000dB,-6.86276648661273e+001°)
7.10370877170880e+002	(1.82273484035485e+000dB,-6.97113968955996e+001°)
7.26751837686426e+002	(1.68392316409795e+000dB,-7.08006692631075e+001°)
7.43510538726022e+002	(1.54184774525284e+000dB,-7.18951763473478e+001°)
7.60655690884102e+002	(1.39648908694564e+000dB,-7.29946110474997e+001°)
7.78196205619056e+002	(1.24782914903042e+000dB,-7.40986651576019e+001°)
7.96141199885097e+002	(1.09585131253087e+000dB,-7.52070297035015e+001°)
8.14500000870938e+002	(9.40540341465027e-001dB,-7.63193952405345e+001°)
8.33282150847744e+002	(7.81882342809324e-001dB,-7.74354521107089e+001°)
8.52497412128878e+002	(6.19864725377065e-001dB,-7.85548906589768e+001°)
8.72155772144008e+002	(4.54476158396865e-001dB,-7.96774014083911e+001°)
8.92267448630233e+002	(2.85706530559355e-001dB,-8.08026751950407e+001°)
9.12842894942911e+002	(1.13546910278099e-001dB,-8.19304032639883e+001°)
9.33892805488947e+002	(-6.20104920960065e-002dB,-8.30602773280405e+001°)
9.55428121285385e+002	(-2.40972359440568e-001dB,-8.41919895919580e+001°)
9.77460035646162e+002	(-4.23344299772687e-001dB,-8.53252327449830e+001°)
1.00000000000001e+003	(-6.09130874335648e-001dB,-8.64596999252218e+001°)
1.02305972984252e+003	(-7.98335621366441e-001dB,-8.75950846598936e+001°)
1.04665121082544e+003	(-9.90961075135893e-001dB,-8.87310807855343e+001°)
1.07078670498641e+003	(-1.18700877990240e+000dB,-8.98673823529609e+001°)
1.09547875712234e+003	(-1.38647929856418e+000dB,-9.10036835218103e+001°)
1.12074020130979e+003	(-1.58937221583598e+000dB,-9.21396784494713e+001°)
1.14658416757563e+003	(-1.79568613590747e+000dB,-9.32750611797384e+001°)
1.17302408872163e+003	(-2.00541867461506e+000dB,-9.44095255361690e+001°)
1.20007370730630e+003	(-2.21856644627886e+000dB,-9.55427650250705e+001°)
1.22774708278788e+003	(-2.43512504541141e+000dB,-9.66744727532192e+001°)
1.25605859883190e+003	(-2.65508902364750e+000dB,-9.78043413646841e+001°)
1.28502297078732e+003	(-2.87845186227503e+000dB,-9.89320630013489e+001°)
1.31465525333510e+003	(-3.10520594087304e+000dB,-1.00057329290952e+002°)
1.34497084831304e+003	(-3.33534250259126e+000dB,-1.01179831366232e+002°)
1.37598551272119e+003	(-3.56885161673039e+000dB,-1.02299259918395e+002°)
