v1	Ic(Q1)	Ic(Q2)
1.670000000000003e-001	1.797808e-004	2.498702e-006
1.680000000000003e-001	1.798453e-004	2.436339e-006
1.690000000000003e-001	1.799082e-004	2.375514e-006
1.700000000000004e-001	1.799696e-004	2.316188e-006
1.710000000000004e-001	1.800295e-004	2.258326e-006
1.720000000000004e-001	1.800880e-004	2.201893e-006
1.730000000000004e-001	1.801451e-004	2.146854e-006
1.740000000000004e-001	1.802007e-004	2.093176e-006
1.750000000000004e-001	1.802551e-004	2.040825e-006
1.760000000000004e-001	1.803081e-004	1.989771e-006
1.770000000000004e-001	1.803598e-004	1.939980e-006
1.780000000000004e-001	1.804103e-004	1.891424e-006
1.790000000000004e-001	1.804596e-004	1.844072e-006
1.800000000000004e-001	1.805076e-004	1.797894e-006
1.810000000000004e-001	1.805545e-004	1.752862e-006
1.820000000000004e-001	1.806003e-004	1.708949e-006
1.830000000000004e-001	1.806450e-004	1.666127e-006
1.840000000000004e-001	1.806885e-004	1.624369e-006
1.850000000000004e-001	1.807310e-004	1.583649e-006
1.860000000000004e-001	1.807725e-004	1.543943e-006
1.870000000000004e-001	1.808130e-004	1.505226e-006
1.880000000000004e-001	1.808525e-004	1.467472e-006
1.890000000000004e-001	1.808910e-004	1.430659e-006
1.900000000000004e-001	1.809286e-004	1.394764e-006
1.910000000000004e-001	1.809653e-004	1.359763e-006
1.920000000000004e-001	1.810011e-004	1.325636e-006
1.930000000000004e-001	1.810361e-004	1.292360e-006
1.940000000000004e-001	1.810702e-004	1.259915e-006
1.950000000000004e-001	1.811034e-004	1.228281e-006
1.960000000000004e-001	1.811359e-004	1.197436e-006
1.970000000000004e-001	1.811675e-004	1.167362e-006
1.980000000000004e-001	1.811984e-004	1.138041e-006
1.990000000000004e-001	1.812286e-004	1.109452e-006
2.000000000000004e-001	1.812580e-004	1.081579e-006
2.010000000000004e-001	1.812867e-004	1.054403e-006
2.020000000000004e-001	1.813147e-004	1.027907e-006
2.030000000000004e-001	1.813420e-004	1.002075e-006
2.040000000000004e-001	1.813687e-004	9.768895e-007
2.050000000000004e-001	1.813947e-004	9.523353e-007
2.060000000000004e-001	1.814201e-004	9.283963e-007
2.070000000000004e-001	1.814448e-004	9.050574e-007
2.080000000000004e-001	1.814690e-004	8.823039e-007
2.090000000000004e-001	1.814926e-004	8.601208e-007
2.100000000000004e-001	1.815156e-004	8.384943e-007
2.110000000000004e-001	1.815381e-004	8.174105e-007
2.120000000000004e-001	1.815600e-004	7.968558e-007
2.130000000000004e-001	1.815814e-004	7.768172e-007
2.140000000000004e-001	1.816022e-004	7.572817e-007
2.150000000000004e-001	1.816226e-004	7.382369e-007
2.160000000000004e-001	1.816424e-004	7.196705e-007
2.170000000000004e-001	1.816618e-004	7.015706e-007
2.180000000000004e-001	1.816808e-004	6.839256e-007
2.190000000000004e-001	1.816992e-004	6.667242e-007
2.200000000000004e-001	1.817172e-004	6.499552e-007
2.210000000000004e-001	1.817348e-004	6.336078e-007
2.220000000000004e-001	1.817520e-004	6.176717e-007
2.230000000000004e-001	1.817687e-004	6.021364e-007
2.240000000000004e-001	1.817851e-004	5.869920e-007
2.250000000000004e-001	1.818010e-004	5.722288e-007
