Freq.	V(v0)
8.92267448630230e+003	(-3.43519659808696e+001dB,-5.93835519040848e-002°)
9.12842894942908e+003	(-3.43519661760126e+001dB,-6.07529197027885e-002°)
9.33892805488945e+003	(-3.43519663802592e+001dB,-6.21538646917341e-002°)
9.55428121285382e+003	(-3.43519665940341e+001dB,-6.35871150280621e-002°)
9.77460035646159e+003	(-3.43519668177820e+001dB,-6.50534156597128e-002°)
1.00000000000001e+004	(-3.43519670519679e+001dB,-6.65535287125963e-002°)
1.02305972984252e+004	(-3.43519672970788e+001dB,-6.80882338866884e-002°)
1.04665121082544e+004	(-3.43519675536245e+001dB,-6.96583288612588e-002°)
1.07078670498640e+004	(-3.43519678221383e+001dB,-7.12646297094421e-002°)
1.09547875712234e+004	(-3.43519681031786e+001dB,-7.29079713223671e-002°)
1.12074020130979e+004	(-3.43519683973298e+001dB,-7.45892078430636e-002°)
1.14658416757563e+004	(-3.43519687052034e+001dB,-7.63092131103737e-002°)
1.17302408872162e+004	(-3.43519690274397e+001dB,-7.80688811130966e-002°)
1.20007370730630e+004	(-3.43519693647086e+001dB,-7.98691264546037e-002°)
1.22774708278788e+004	(-3.43519697177116e+001dB,-8.17108848281649e-002°)
1.25605859883190e+004	(-3.43519700871825e+001dB,-8.35951135032330e-002°)
1.28502297078732e+004	(-3.43519704738897e+001dB,-8.55227918229381e-002°)
1.31465525333509e+004	(-3.43519708786372e+001dB,-8.74949217130519e-002°)
1.34497084831303e+004	(-3.43519713022666e+001dB,-8.95125282026839e-002°)
1.37598551272118e+004	(-3.43519717456588e+001dB,-9.15766599569820e-002°)
1.40771536691174e+004	(-3.43519722097357e+001dB,-9.36883898221123e-002°)
1.44017690296787e+004	(-3.43519726954623e+001dB,-9.58488153828017e-002°)
1.47338699327573e+004	(-3.43519732038486e+001dB,-9.80590595327336e-002°)
1.50736289929414e+004	(-3.43519737359517e+001dB,-1.00320271058091e-001°)
1.54212228052648e+004	(-3.43519742928779e+001dB,-1.02633625234549e-001°)
1.57768320369953e+004	(-3.43519748757854e+001dB,-1.05000324438035e-001°)
1.61406415215391e+004	(-3.43519754858861e+001dB,-1.07421598769555e-001°)
1.65128403545105e+004	(-3.43519761244486e+001dB,-1.09898706694435e-001°)
1.68936219920180e+004	(-3.43519767928008e+001dB,-1.12432935696285e-001°)
1.72831843512154e+004	(-3.43519774923323e+001dB,-1.15025602946044e-001°)
1.76817299131727e+004	(-3.43519782244976e+001dB,-1.17678055986439e-001°)
