Time (s),Channel 1 (V),Channel 2 (V)
-0.00410375,-0.607343589,-1.162481079
-0.0041025,-0.600918509,-1.150236635
-0.00410125,-0.594591364,-1.137424379
-0.0041,-0.58847234,-1.125071678
-0.00409875,-0.582220428,-1.112263492
-0.0040975,-0.575794905,-1.099599934
-0.00409625,-0.569171913,-1.086725985
-0.004095,-0.562714235,-1.073694471
-0.00409375,-0.556338958,-1.060967966
-0.0040925,-0.54976268,-1.048423598
-0.00409125,-0.543102212,-1.034691663
-0.00409,-0.536548635,-1.021619086
-0.00408875,-0.529873755,-1.008480322
-0.0040875,-0.523140103,-0.994679397
-0.00408625,-0.516581181,-0.981755345
-0.004085,-0.509998698,-0.968693796
-0.00408375,-0.503147166,-0.95435143
-0.0040825,-0.496296195,-0.94158593
-0.00408125,-0.489401628,-0.927456133
-0.00408,-0.482556012,-0.913230381
-0.00407875,-0.475648781,-0.900097826
-0.0040775,-0.468798178,-0.886394845
-0.00407625,-0.461679251,-0.872055542
-0.004075,-0.454875846,-0.85837467
-0.00407375,-0.447852944,-0.844370916
-0.0040725,-0.440567546,-0.829809738
-0.00407125,-0.433749649,-0.817076229
-0.00407,-0.426843496,-0.802417909
-0.00406875,-0.419436909,-0.788183472
-0.0040675,-0.412209119,-0.772959085
-0.00406625,-0.405088453,-0.759806604
-0.004065,-0.397912393,-0.745291646
-0.00406375,-0.390843269,-0.730823511
-0.0040625,-0.383469789,-0.716182085
-0.00406125,-0.37618112,-0.701317487
-0.00406,-0.368958016,-0.686354279
-0.00405875,-0.361492698,-0.672005568
-0.0040575,-0.354139741,-0.657670359
-0.00405625,-0.34671018,-0.643203692
-0.004055,-0.339452912,-0.628394872
-0.00405375,-0.332012139,-0.613675296
-0.0040525,-0.324602246,-0.598630096
-0.00405125,-0.316988331,-0.583478109
-0.00405,-0.309632251,-0.56904542
-0.00404875,-0.302115415,-0.553690007
-0.0040475,-0.294159295,-0.538427773
-0.00404625,-0.286928629,-0.523195892
-0.004045,-0.279457102,-0.508485509
-0.00404375,-0.271723738,-0.493897517
-0.0040425,-0.264479541,-0.478925367
-0.00404125,-0.256858547,-0.462989975
-0.00404,-0.249121182,-0.448090163
-0.00403875,-0.241704742,-0.433511411
-0.0040375,-0.234027334,-0.417173394
-0.00403625,-0.226157837,-0.402596959
-0.004035,-0.21840173,-0.387437562
-0.00403375,-0.210796294,-0.372026278
-0.0040325,-0.203177822,-0.355984269
-0.00403125,-0.195590859,-0.340676724
-0.00403,-0.187658424,-0.325645257
-0.00402875,-0.17984475,-0.310070279
-0.0040275,-0.172222444,-0.294708462
-0.00402625,-0.164361584,-0.278768528
-0.004025,-0.156862677,-0.263698881
-0.00402375,-0.14879501,-0.247749422
-0.0040225,-0.140783978,-0.232061327
-0.00402125,-0.133127902,-0.216728414
-0.00402,-0.125584214,-0.201148497
-0.00401875,-0.11791129,-0.186013144
-0.0040175,-0.110126362,-0.170068556
-0.00401625,-0.101956081,-0.154214604
-0.004015,-0.094254887,-0.138720351
-0.00401375,-0.086320612,-0.123351582
-0.0040125,-0.078322098,-0.106884912
-0.00401125,-0.070562133,-0.091196206
-0.00401,-0.062722924,-0.075501347
-0.00400875,-0.054766736,-0.060178653
-0.0040075,-0.046940324,-0.04437854
-0.00400625,-0.039190654,-0.028748011
-0.004005,-0.031275911,-0.013341241
-0.00400375,-0.023560693,0.002495374
-0.0040025,-0.015577653,0.018481582
-0.00400125,-0.007500573,0.034225787
-0.004,0.000350599,0.050096403
-0.00399875,0.008086111,0.065993436
-0.0039975,0.016022222,0.082113047
-0.00399625,0.023883104,0.097712263
-0.003995,0.031829272,0.112640379
-0.00399375,0.039811961,0.128657675
-0.0039925,0.047490153,0.144657806
-0.00399125,0.055221371,0.159626891
-0.00399,0.062974371,0.175890105
-0.00398875,0.071015522,0.191817994
-0.0039875,0.079124946,0.207154865
-0.00398625,0.08677293,0.222371143
-0.003985,0.094520539,0.238120837
-0.00398375,0.102473388,0.2547394
-0.0039825,0.110206847,0.270346702
-0.00398125,0.118106332,0.285306085
-0.00398,0.126038454,0.300935868
-0.00397875,0.133636876,0.316249216
-0.0039775,0.141508375,0.332541913
-0.00397625,0.149220813,0.348313001
-0.003975,0.156973165,0.363445216
-0.00397375,0.16509381,0.379061119
-0.0039725,0.172840502,0.394889666
-0.00397125,0.180283503,0.409371077
-0.00397,0.188133224,0.425435746
-0.00396875,0.195807898,0.441200689
-0.0039675,0.203646629,0.456250482
-0.00396625,0.211279355,0.471667944
-0.003965,0.218796976,0.487216649
-0.00396375,0.226352124,0.50203352
-0.0039625,0.234196209,0.517300256
-0.00396125,0.241965672,0.532547947
-0.00396,0.249596141,0.547620179
-0.00395875,0.257311256,0.562991329
-0.0039575,0.264831421,0.578582953
-0.00395625,0.272550898,0.593604897
-0.003955,0.279862038,0.608512983
-0.00395375,0.287189109,0.623348461
-0.0039525,0.295113715,0.638612533
-0.00395125,0.302551402,0.65351243
-0.00395,0.310134126,0.668607438
-0.00394875,0.317606073,0.683552676
-0.0039475,0.324925149,0.698409206
-0.00394625,0.332284251,0.71359254
-0.003945,0.339966147,0.728121374
-0.00394375,0.347417944,0.742813541
-0.0039425,0.354599861,0.757491346
-0.00394125,0.362087258,0.771680061
-0.00394,0.369494988,0.78672605
-0.00393875,0.376664033,0.800979887
-0.0039375,0.384134341,0.816190788
-0.00393625,0.391312066,0.830439884
-0.003935,0.398286867,0.84492435
-0.00393375,0.405679192,0.859268586
-0.0039325,0.413018296,0.873414202
-0.00393125,0.420156126,0.887881605
-0.00393,0.427472664,0.901919215
-0.00392875,0.434371081,0.915945209
-0.0039275,0.441275149,0.930126341
-0.00392625,0.448410636,0.94455435
-0.003925,0.455441691,0.958518058
-0.00392375,0.462425752,0.972090639
-0.0039225,0.469379122,0.985863825
-0.00392125,0.476242336,0.999664712
-0.00392,0.483240222,1.013258366
-0.00391875,0.490098437,1.027555475
-0.0039175,0.496670558,1.04094082
-0.00391625,0.5036155,1.054642148
-0.003915,0.510699431,1.068607304
-0.00391375,0.517411475,1.081505043
-0.0039125,0.524066822,1.095252027
-0.00391125,0.530924031,1.10861389
-0.00391,0.537221183,1.121969187
-0.00390875,0.543989849,1.135087359
-0.0039075,0.550662736,1.148274615
-0.00390625,0.557297384,1.160903072
-0.003905,0.563825174,1.174778126
-0.00390375,0.570165602,1.187075765
-0.0039025,0.576567675,1.199462872
-0.00390125,0.583075491,1.212514894
-0.0039,0.589315822,1.22501512
-0.00389875,0.596079456,1.238336611
-0.0038975,0.60236777,1.25107696
-0.00389625,0.608603432,1.263747226
-0.003895,0.614759997,1.275703947
-0.00389375,0.620737888,1.288101958
-0.0038925,0.627071902,1.300608415
-0.00389125,0.633010936,1.312641093
-0.00389,0.639257271,1.324413229
-0.00388875,0.645245259,1.33680498
-0.0038875,0.651225504,1.349374783
-0.00388625,0.65736108,1.360499838
-0.003885,0.663181901,1.372532862
-0.00388375,0.669025768,1.38417984
-0.0038825,0.674786902,1.396165055
-0.00388125,0.68052276,1.407914255
-0.00388,0.686492425,1.418858306
-0.00387875,0.692106832,1.429891529
-0.0038775,0.697962373,1.441683527
-0.00387625,0.703512935,1.452691565
-0.003875,0.708999616,1.463958868
-0.00387375,0.714498929,1.475616028
-0.0038725,0.720173927,1.486764757
-0.00387125,0.725507328,1.497053737
-0.00387,0.730927022,1.507951266
-0.00386875,0.736309121,1.519031461
-0.0038675,0.741444355,1.529040218
-0.00386625,0.746732637,1.539594252
-0.003865,0.752052269,1.550535342
-0.00386375,0.75697863,1.560353694
-0.0038625,0.762007601,1.570716811
-0.00386125,0.76717145,1.581215773
-0.00386,0.772577717,1.59123652
-0.00385875,0.777568715,1.601444234
-0.0038575,0.782450117,1.611337305
-0.00385625,0.78727177,1.620641388
-0.003855,0.792375848,1.631286026
-0.00385375,0.797066945,1.640365243
-0.0038525,0.801567245,1.649527377
-0.00385125,0.806267034,1.65889747
-0.00385,0.811054098,1.66873047
-0.00384875,0.8156808,1.677859346
-0.0038475,0.820137885,1.686689524
-0.00384625,0.82479031,1.695868433
-0.003845,0.828929425,1.70485796
-0.00384375,0.833275154,1.713455874
-0.0038425,0.838051733,1.722420404
-0.00384125,0.84223853,1.730875287
-0.00384,0.846514049,1.739336159
-0.00383875,0.850737653,1.748488354
-0.0038375,0.854734013,1.756319853
-0.00383625,0.858973108,1.764246965
-0.003835,0.863094911,1.773082487
-0.00383375,0.867010266,1.780451567
-0.0038325,0.870778873,1.788110263
-0.00383125,0.874512805,1.796438669
-0.00383,0.878433432,1.803714538
-0.00382875,0.882373506,1.811217259
-0.0038275,0.886031326,1.818939549
-0.00382625,0.889632408,1.82601278
-0.003825,0.893232442,1.833315874
-0.00382375,0.896780229,1.840613115
-0.0038225,0.900284248,1.847401543
-0.00382125,0.903666598,1.854532107
-0.00382,0.907132451,1.860781518
-0.00381875,0.910656532,1.868119008
-0.0038175,0.913785282,1.874155839
-0.00381625,0.916768347,1.880689012
