Time (s),Channel 1 (V)
-0.000100786,-4.849664133
-0.000100716,-4.842182465
-0.000100646,-4.845923299
-0.000100576,-4.853404967
-0.000100506,-4.860886635
-0.000100436,-4.857145801
-0.000100366,-4.857145801
-0.000100296,-4.857145801
-0.000100226,-4.853404967
-0.000100156,-4.849664133
-0.000100086,-4.849664133
-0.000100016,-4.849664133
-9.99E-05,-4.860886635
-9.99E-05,-4.872109138
-9.98E-05,-4.872109138
-9.97E-05,-4.875849972
-9.97E-05,-4.88333164
-9.96E-05,-4.88333164
-9.95E-05,-4.894554142
-9.95E-05,-4.905776644
-9.94E-05,-4.894554142
-9.93E-05,-4.890813308
-9.92E-05,-4.898294976
-9.92E-05,-4.894554142
-9.91E-05,-4.898294976
-9.90E-05,-4.90203581
-9.90E-05,-4.90203581
-9.89E-05,-4.909517478
-9.88E-05,-4.909517478
-9.88E-05,-4.913258313
-9.87E-05,-4.916999147
-9.86E-05,-4.920739981
-9.85E-05,-4.913258313
-9.85E-05,-4.916999147
-9.84E-05,-4.913258313
-9.83E-05,-4.916999147
-9.83E-05,-4.916999147
-9.82E-05,-4.905776644
-9.81E-05,-4.905776644
-9.81E-05,-4.90203581
-9.80E-05,-4.898294976
-9.79E-05,-4.894554142
-9.78E-05,-4.890813308
-9.78E-05,-4.894554142
-9.77E-05,-4.894554142
-9.76E-05,-4.894554142
-9.76E-05,-4.898294976
-9.75E-05,-4.90203581
-9.74E-05,-4.909517478
-9.74E-05,-4.913258313
-9.73E-05,-4.909517478
-9.72E-05,-4.916999147
-9.71E-05,-4.909517478
-9.71E-05,-4.898294976
-9.70E-05,-4.890813308
-9.69E-05,-4.898294976
-9.69E-05,-4.90203581
-9.68E-05,-4.905776644
-9.67E-05,-4.90203581
-9.67E-05,-4.913258313
-9.66E-05,-4.909517478
-9.65E-05,-4.916999147
-9.64E-05,-4.916999147
-9.64E-05,-4.920739981
-9.63E-05,-4.924480815
-9.62E-05,-4.924480815
-9.62E-05,-4.924480815
-9.61E-05,-4.924480815
-9.60E-05,-4.924480815
-9.60E-05,-4.920739981
-9.59E-05,-4.916999147
-9.58E-05,-4.920739981
-9.57E-05,-4.928221649
-9.57E-05,-4.935703317
-9.56E-05,-4.939444151
-9.55E-05,-4.943184985
-9.55E-05,-4.943184985
-9.54E-05,-4.950666653
-9.53E-05,-4.958148321
-9.53E-05,-4.958148321
-9.52E-05,-4.954407487
-9.51E-05,-4.954407487
-9.50E-05,-4.954407487
-9.50E-05,-4.961889156
-9.49E-05,-4.961889156
-9.48E-05,-4.943184985
-9.48E-05,-4.943184985
-9.47E-05,-4.946925819
-9.46E-05,-4.946925819
-9.46E-05,-4.946925819
-9.45E-05,-4.943184985
-9.44E-05,-4.935703317
-9.43E-05,-4.946925819
-9.43E-05,-4.939444151
-9.42E-05,-4.943184985
-9.41E-05,-4.946925819
-9.41E-05,-4.946925819
-9.40E-05,-4.950666653
-9.39E-05,-4.943184985
-9.39E-05,-4.950666653
-9.38E-05,-4.954407487
-9.37E-05,-4.954407487
-9.36E-05,-4.961889156
-9.36E-05,-4.958148321
-9.35E-05,-4.958148321
-9.34E-05,-4.950666653
-9.34E-05,-4.935703317
-9.33E-05,-4.928221649
-9.32E-05,-4.920739981
-9.32E-05,-4.905776644
-9.31E-05,-4.916999147
-9.30E-05,-4.913258313
-9.29E-05,-4.913258313
-9.29E-05,-4.905776644
-9.28E-05,-4.90203581
-9.27E-05,-4.898294976
-9.27E-05,-4.88333164
-9.26E-05,-4.887072474
-9.25E-05,-4.879590806
-9.25E-05,-4.875849972
-9.24E-05,-4.875849972
-9.23E-05,-4.875849972
-9.22E-05,-4.875849972
-9.22E-05,-4.868368304
-9.21E-05,-4.868368304
-9.20E-05,-4.860886635
-9.20E-05,-4.860886635
-9.19E-05,-4.857145801
-9.18E-05,-4.845923299
-9.18E-05,-4.830959963
-9.17E-05,-4.81973746
-9.16E-05,-4.804774124
-9.15E-05,-4.789810788
-9.15E-05,-4.759884115
-9.14E-05,-4.71873494
-9.13E-05,-4.651399927
-9.13E-05,-4.509248232
-9.12E-05,-4.296020689
-9.11E-05,-4.060348142
-9.11E-05,-3.847120599
-9.10E-05,-3.630152223
-9.09E-05,-3.405702178
-9.08E-05,-3.203697137
-9.08E-05,-2.997951263
-9.07E-05,-2.810909559
-9.06E-05,-2.623867855
-9.06E-05,-2.463011989
-9.05E-05,-2.313378626
-9.04E-05,-2.182449433
-9.04E-05,-2.059001908
-9.03E-05,-1.946776886
-9.02E-05,-1.830811029
-9.01E-05,-1.722326841
-9.01E-05,-1.621324321
-9.00E-05,-1.524062635
-8.99E-05,-1.415578446
-8.99E-05,-1.314575926
-8.98E-05,-1.194869235
-8.97E-05,-1.075162545
-8.97E-05,-0.95171502
-8.96E-05,-0.828267495
-8.95E-05,-0.704819971
-8.94E-05,-0.577631612
-8.94E-05,-0.450443253
-8.93E-05,-0.31951406
-8.92E-05,-0.188584867
-8.92E-05,-0.050174006
-8.91E-05,0.095718523
-8.90E-05,0.241611052
-8.90E-05,0.387503581
-8.89E-05,0.544618613
-8.88E-05,0.671806971
-8.87E-05,0.810217832
-8.87E-05,0.959851196
-8.86E-05,1.105743725
-8.85E-05,1.259117922
-8.85E-05,1.408751285
-8.84E-05,1.554643815
-8.83E-05,1.704277178
-8.83E-05,1.846428873
