Freq.	V(v0)
1.17302408872162e+004	(1.28219151011161e+001dB,-4.66912659947926e+001°)
1.20007370730630e+004	(1.27159772335604e+001dB,-4.73430124161848e+001°)
1.22774708278788e+004	(1.26077972633791e+001dB,-4.79935582288077e+001°)
1.25605859883190e+004	(1.24973846363219e+001dB,-4.86425714777905e+001°)
1.28502297078732e+004	(1.23847510426467e+001dB,-4.92897241554757e+001°)
1.31465525333509e+004	(1.22699103693833e+001dB,-4.99346930113231e+001°)
1.34497084831303e+004	(1.21528786440354e+001dB,-5.05771603315209e+001°)
1.37598551272118e+004	(1.20336739715173e+001dB,-5.12168146945309e+001°)
1.40771536691174e+004	(1.19123164609739e+001dB,-5.18533516675799e+001°)
1.44017690296787e+004	(1.17888281497048e+001dB,-5.24864744936814e+001°)
1.47338699327573e+004	(1.16632329168090e+001dB,-5.31158947011818e+001°)
1.50736289929414e+004	(1.15355563933048e+001dB,-5.37413326819858e+001°)
1.54212228052648e+004	(1.14058258688292e+001dB,-5.43625182337387e+001°)
1.57768320369953e+004	(1.12740701903016e+001dB,-5.49791910162414e+001°)
1.61406415215391e+004	(1.11403196608269e+001dB,-5.55911009876709e+001°)
1.65128403545105e+004	(1.10046059341151e+001dB,-5.61980087717949e+001°)
1.68936219920180e+004	(1.08669619075738e+001dB,-5.67996859777067e+001°)
1.72831843512154e+004	(1.07274216129045e+001dB,-5.73959154539687e+001°)
1.76817299131727e+004	(1.05860201080362e+001dB,-5.79864915090315e+001°)
1.80894658281187e+004	(1.04427933673929e+001dB,-5.85712200626474e+001°)
1.85066040231104e+004	(1.02977781741821e+001dB,-5.91499187605580e+001°)
1.89333613121856e+004	(1.01510120124645e+001dB,-5.97224170246455e+001°)
1.93699595090552e+004	(1.00025329628097e+001dB,-6.02885560755604e+001°)
1.98166255423944e+004	(9.85237959801057e+000dB,-6.08481888857700e+001°)
2.02735915737921e+004	(9.70059088422573e+000dB,-6.14011801207581e+001°)
2.07410951184211e+004	(9.54720608315527e+000dB,-6.19474060168014e+001°)
2.12193791684897e+004	(9.39226465770969e+000dB,-6.24867542206566e+001°)
2.17086923195408e+004	(9.23580618381511e+000dB,-6.30191236242273e+001°)
2.22092888996636e+004	(9.07787026331727e+000dB,-6.35444241317847e+001°)
2.27214291016840e+004	(8.91849644288114e+000dB,-6.40625764201271e+001°)
2.32453791184046e+004	(8.75772413718756e+000dB,-6.45735116724084e+001°)
2.37814112809617e+004	(8.59559255580203e+000dB,-6.50771712777983e+001°)
2.43298042003743e+004	(8.43214063634276e+000dB,-6.55735065347149e+001°)
2.48908429123560e+004	(8.26740698018300e+000dB,-6.60624783079817e+001°)
2.54648190254673e+004	(8.10142979474548e+000dB,-6.65440566989809e+001°)
2.60520308726829e+004	(7.93424683880266e+000dB,-6.70182206807673e+001°)
2.66527836664557e+004	(7.76589537415527e+000dB,-6.74849577510662e+001°)
2.72673896573550e+004	(7.59641212006379e+000dB,-6.79442635523668e+001°)
2.78961682963640e+004	(7.42583321333367e+000dB,-6.83961415068666e+001°)
2.85394464009193e+004	(7.25419417192631e+000dB,-6.88406024374846e+001°)
2.91975583247792e+004	(7.08152986314332e+000dB,-6.92776641954894e+001°)
2.98708461318095e+004	(6.90787447562917e+000dB,-6.97073512871799e+001°)
3.05596597737762e+004	(6.73326149537509e+000dB,-7.01296945069952e+001°)
3.12643572722385e+004	(6.55772368460075e+000dB,-7.05447305616420e+001°)
3.19853049046360e+004	(6.38129306527009e+000dB,-7.09525017210639e+001°)
3.27228773946671e+004	(6.20400090472739e+000dB,-7.13530554558681e+001°)
3.34774581070577e+004	(6.02587770519452e+000dB,-7.17464440970615e+001°)
3.42494392468203e+004	(5.84695319575042e+000dB,-7.21327244974742e+001°)
3.50392220631094e+004	(5.66725632712643e+000dB,-7.25119577051273e+001°)
3.58472170577764e+004	(5.48681526862130e+000dB,-7.28842086390693e+001°)
3.66738441987345e+004	(5.30565740811026e+000dB,-7.32495457919867e+001°)
3.75195331382435e+004	(5.12380935328347e+000dB,-7.36080409254015e+001°)
3.83847234362285e+004	(4.94129693542138e+000dB,-7.39597687884993e+001°)
3.92698647887473e+004	(4.75814521459989e+000dB,-7.43048068409729e+001°)
4.01754172617277e+004	(4.57437848671679e+000dB,-7.46432349921469e+001°)
4.11018515300932e+004	(4.39002029189758e+000dB,-7.49751353503400e+001°)
4.20496491224040e+004	(4.20509342412914e+000dB,-7.53005919820578e+001°)
4.30193026711389e+004	(4.01961994205558e+000dB,-7.56196906827883e+001°)
4.40113161687485e+004	(3.83362118092220e+000dB,-7.59325187623439e+001°)
