Freq.	V(v0)
7.60655690884100e+000	-4.51849787689212e-008,-1.39512926607395e-009
7.78196205619054e+000	-4.51849792648923e-008,-1.42730057004270e-009
7.96141199885095e+000	-4.51849797955468e-008,-1.46021373558944e-009
8.14500000870935e+000	-4.51849803539479e-008,-1.49388586984182e-009
8.33282150847742e+000	-4.51849809262224e-008,-1.52833447441309e-009
8.52497412128876e+000	-4.51849815366484e-008,-1.56357745449901e-009
8.72155772144005e+000	-4.51849821609478e-008,-1.59963312818438e-009
8.92267448630231e+000	-4.51849828199305e-008,-1.63652023596395e-009
9.12842894942908e+000	-4.51849835205331e-008,-1.67425795048336e-009
9.33892805488945e+000	-4.51849842419457e-008,-1.71286588650420e-009
9.55428121285382e+000	-4.51849850049783e-008,-1.75236411109915e-009
9.77460035646159e+000	-4.51849857957575e-008,-1.79277315408225e-009
1.00000000000001e+001	-4.51849866246884e-008,-1.83411401867940e-009
1.02305972984252e+001	-4.51849874952392e-008,-1.87640819244528e-009
1.04665121082544e+001	-4.51849884004733e-008,-1.91967765843175e-009
1.07078670498640e+001	-4.51849893438590e-008,-1.96394490661388e-009
1.09547875712234e+001	-4.51849903496747e-008,-2.00923294557953e-009
1.12074020130979e+001	-4.51849913901736e-008,-2.05556531448839e-009
1.14658416757563e+001	-4.51849924792292e-008,-2.10296609530675e-009
1.17302408872162e+001	-4.51849936272464e-008,-2.15145992532459e-009
1.20007370730630e+001	-4.51849948203519e-008,-2.20107200996111e-009
1.22774708278788e+001	-4.51849960724190e-008,-2.25182813586568e-009
1.25605859883190e+001	-4.51849973869160e-008,-2.30375468432082e-009
1.28502297078732e+001	-4.51849987534380e-008,-2.35687864495430e-009
1.31465525333509e+001	-4.51850001893266e-008,-2.41122762976742e-009
1.34497084831304e+001	-4.51850016911134e-008,-2.46682988748676e-009
1.37598551272118e+001	-4.51850032622669e-008,-2.52371431824692e-009
1.40771536691174e+001	-4.51850049097236e-008,-2.58191048861169e-009
1.44017690296787e+001	-4.51850066300152e-008,-2.64144864694201e-009
1.47338699327573e+001	-4.51850084370151e-008,-2.70235973911772e-009
1.50736289929414e+001	-4.51850103133815e-008,-2.76467542462236e-009
1.54212228052648e+001	-4.51850122903296e-008,-2.82842809299844e-009
1.57768320369953e+001	-4.51850143505175e-008,-2.89365088068271e-009
1.61406415215391e+001	-4.51850165182237e-008,-2.96037768822927e-009
1.65128403545105e+001	-4.51850187830431e-008,-3.02864319792960e-009
1.68936219920180e+001	-4.51850211519125e-008,-3.09848289183966e-009
1.72831843512154e+001	-4.51850236421733e-008,-3.16993307022188e-009
1.76817299131727e+001	-4.51850262295474e-008,-3.24303087041301e-009
1.80894658281187e+001	-4.51850289452497e-008,-3.31781428612672e-009
1.85066040231104e+001	-4.51850317962169e-008,-3.39432218720145e-009
1.89333613121856e+001	-4.51850347720440e-008,-3.47259433980355e-009
1.93699595090552e+001	-4.51850378761992e-008,-3.55267142709657e-009
1.98166255423944e+001	-4.51850411468343e-008,-3.63459507038657e-009
2.02735915737921e+001	-4.51850445596709e-008,-3.71840785075584e-009
2.07410951184211e+001	-4.51850481216457e-008,-3.80415333119493e-009
